frame1 #0,05437703#0,9859587#3,541343#-0,008813371#0,8111289#3,577589# 0,001463138#0,6343861#3,30379#0,07535928#0,5346607#3,417273#0,04484278#0,5972574#3,339657#-0,01072431#0,5248849#3,44585#0,1749817#0,4858713#3,461557#-0,268975#0,4955574#3,54588#0,1643538#0,6784033#3,611875#-0,1399542#0,696725#3,508976#-0,01214313#0,4266647#3,584765#0,007828711#0,3586311#3,530241#0,07894392#0,2825665#3,544392#-0,05799468#0,2908112#3,496487#0,04681654#-0,2480531#3,602251#-0,1108758#-0,243249#3,239587#-0,03730755#-0,5774589#3,559047#-0,1287937#-0,6088777#3,172778#0,01460079#-0,644545#3,52049#-0,09609428#-0,6563596#3,085364#1  
frame74 #-0,344182#0,9033753#2,759923#-0,2624048#0,7224479#2,726054# -0,3921844#0,1408427#2,586527#-0,2359172#0,2378778#2,455461#-0,3680007#0,1953563#2,549597#-0,2637123#0,3129739#2,504066#-0,2718987#0,3714424#2,510324#-0,3470976#0,538262#2,664471#-0,1994611#0,5567026#2,598742#-0,3800921#0,7149556#2,909117#-0,1819014#0,2881524#2,737648#-0,1873845#0,1978187#2,729213#-0,1387592#0,1354465#2,692624#-0,21457#0,1424419#2,747673#-0,1752179#-0,3055367#2,530773#-0,3714638#-0,3441984#2,938538#-0,1023462#-0,645544#2,47692#-0,1705577#-0,548447#2,570915#-0,1514298#-0,7063013#2,433484#-0,1721694#-0,6236112#2,494152#1  
frame75 #-0,3222068#0,885334#2,722#-0,2429718#0,7030924#2,693784# -0,400803#0,1380254#2,63949#-0,2151382#0,2147895#2,42061#-0,3679795#0,1944252#2,570144#-0,243209#0,2904932#2,46945#-0,254761#0,3424475#2,489606#-0,3274214#0,5176042#2,630574#-0,1786955#0,5417253#2,578231#-0,3606592#0,6956001#2,876846#-0,1756855#0,2595709#2,725043#-0,183352#0,1679644#2,721717#-0,1322097#0,1082629#2,699103#-0,2199331#0,119709#2,743159#-0,1792127#-0,3080302#2,52219#-0,3736948#-0,3673915#2,938396#-0,1021841#-0,6455451#2,476548#-0,0361894#-0,6126441#2,901019#-0,1516673#-0,7069095#2,433066#-0,06720904#-0,6379048#2,800928#1  
frame76 #-0,3015094#0,8638712#2,68556#-0,2208681#0,6815688#2,652915# -0,3966365#0,1272647#2,579419#-0,1929847#0,1931279#2,379625#-0,3637415#0,1767282#2,541883#-0,2210657#0,268854#2,428474#-0,2431489#0,3305117#2,481575#-0,3053087#0,4960324#2,589632#-0,1524521#0,5286129#2,557812#-0,3385554#0,6740765#2,835978#-0,1826366#0,3252777#2,706033#-0,1960622#0,2516133#2,707388#-0,1517285#0,1452721#2,637165#-0,2289582#0,1597068#2,795991#-0,1784005#-0,3092639#2,516044#-0,3719105#-0,3500316#2,942252#-0,1023008#-0,644151#2,475291#-0,01749641#-0,6420996#2,953772#-0,1515328#-0,7070177#2,432214#-0,05929188#-0,6620327#2,856193#1  
frame77 #-0,2766079#0,8544626#2,657556#-0,2114868#0,6676232#2,644122# -0,4441023#0,1304335#2,57001#-0,2321435#0,06899652#2,842434#-0,3748052#0,1693157#2,51704#-0,2658041#0,1528541#2,857081#-0,2277268#0,3038566#2,466419#-0,3667861#0,4044268#2,915632#-0,1336431#0,5107355#2,540507#-0,3291741#0,6601309#2,827184#-0,1728939#0,2951701#2,697943#-0,186166#0,2173263#2,699333#-0,1431759#0,1368728#2,650241#-0,225332#0,1528228#2,754408#-0,1769063#-0,3118143#2,511534#-0,3673986#-0,3503134#2,925519#-0,1022325#-0,6447697#2,474893#-0,01154833#-0,6473466#2,970251#-0,1522215#-0,7079435#2,431743#-0,04595429#-0,6632003#2,868771#1  
frame78 #-0,2567212#0,8323921#2,64202#-0,1919148#0,6453491#2,629878# -0,4562435#0,1311377#2,532182#-0,5275744#0,2105884#3,09604#-0,3755192#0,1608061#2,490052#-0,4868534#0,2347766#3,043435#-0,1923036#0,3013327#2,449454#-0,3867174#0,3572366#2,920615#-0,107731#0,4998839#2,531928#-0,3431222#0,5360984#2,78343#-0,1640606#0,2743762#2,693383#-0,1766189#0,1977793#2,692935#-0,1186656#0,1149298#2,651367#-0,2258428#0,1368253#2,747841#-0,1754745#-0,3127212#2,509523#-0,3680297#-0,3656846#2,924977#-0,100982#-0,6456376#2,475028#0,02917209#-0,5431268#2,983762#-0,1529147#-0,7085833#2,431154#-0,007867109#-0,5758967#2,887186#1  
frame79 #-0,1876289#0,8172438#2,563708#-0,188286#0,6301112#2,623291# -0,4915974#0,1103443#2,487743#-0,5822586#0,2269785#3,035521#-0,4073347#0,129037#2,46103#-0,5415673#0,2511491#2,982954#-0,1785578#0,291922#2,441301#-0,4325697#0,3648151#2,859947#-0,08691801#0,4863177#2,527587#-0,3486593#0,5260091#2,765279#-0,1400891#0,2554843#2,677894#-0,1430398#0,1773809#2,675317#-0,06663063#0,1025729#2,641361#-0,2006495#0,1085671#2,720492#-0,1715097#-0,3124926#2,506082#-0,07885974#-0,3433021#3,010131#-0,09982274#-0,6468936#2,474744#0,02278824#-0,6533043#2,981049#-0,1526786#-0,7101787#2,432003#-0,0175419#-0,6675002#2,881154#1  
frame80 #-0,1801256#0,8055545#2,553416#-0,1774613#0,6116288#2,612288# -0,4655181#0,1055162#2,420091#-0,6984003#0,1919355#2,936985#-0,3790177#0,1233844#2,4048#-0,624017#0,2385142#2,898005#-0,1680031#0,2421289#2,429646#-0,4787838#0,3542219#2,816395#-0,06354499#0,468148#2,527771#-0,356553#0,5149426#2,728694#-0,1391448#0,2495755#2,675643#-0,1411243#0,1737653#2,674395#-0,06216932#0,09687391#2,645468#-0,2021559#0,1040806#2,716822#-0,16487#-0,3097096#2,500096#-0,07262021#-0,3344066#3,02548#-0,09905797#-0,6468812#2,474186#0,02330774#-0,6435742#3,021907#-0,1541616#-0,7110959#2,430168#-0,003742715#-0,6538281#2,916998#1  
frame81 #-0,1629394#0,78811#2,546525#-0,1653811#0,5992581#2,612542# -0,4562648#0,08855905#2,349934#-0,7713869#0,1908148#2,834519#-0,3879371#0,1049684#2,359652#-0,6904029#0,2317514#2,807065#-0,1567602#0,2350138#2,42792#-0,5106784#0,354958#2,764398#-0,04096761#0,4559849#2,534241#-0,3371043#0,5058482#2,692728#-0,13199#0,2386564#2,673255#-0,1336843#0,1645951#2,672856#-0,05184072#0,08600223#2,655012#-0,1993613#0,09673905#2,705686#-0,1576143#-0,3055247#2,495804#-0,06946489#-0,3349757#3,025884#-0,09780201#-0,6473346#2,473735#0,03112402#-0,6370244#3,053006#-0,1544533#-0,7111388#2,428273#-0,001649715#-0,6501571#2,949914#1  
frame82 #-0,1482227#0,7808879#2,544057#-0,15048#0,5871418#2,610748# -0,3956035#0,09346753#2,293949#-0,7974702#0,2222884#2,666244#-0,3300789#0,09854351#2,316834#-0,7337447#0,2512934#2,675638#-0,1256423#0,219039#2,427518#-0,5475066#0,3464606#2,703897#-0,02709004#0,4490078#2,542457#-0,3330398#0,496899#2,681273#-0,1321099#0,2400935#2,67253#-0,1329109#0,1682492#2,673469#-0,05373525#0,09210928#2,656866#-0,1996291#0,09805901#2,706239#-0,1537196#-0,3049315#2,492571#-0,06815509#-0,3286781#3,035203#-0,09667744#-0,6475686#2,473541#0,03452273#-0,6258067#3,074916#-0,1546147#-0,7111827#2,426985#-0,007083416#-0,6448339#2,975933#1  
frame83 #-0,1382194#0,7694741#2,546046#-0,147855#0,5780605#2,615626# -0,3111162#0,07845245#2,258446#-0,8269081#0,2180163#2,564579#-0,236303#0,1079994#2,316595#-0,7631158#0,2470518#2,573983#-0,08511089#0,216225#2,428233#-0,5548226#0,3562396#2,63537#-0,01683723#0,4432195#2,551804#-0,3236983#0,4841839#2,667351#-0,1328996#0,2385985#2,672591#-0,1329181#0,1678063#2,673957#-0,0547056#0,0918552#2,659019#-0,2001079#0,09754112#2,705986#-0,1509227#-0,3051732#2,490608#-0,05681935#-0,326232#3,035467#-0,09612097#-0,6473482#2,473204#0,02312195#-0,5965623#3,160178#-0,1545862#-0,7110718#2,426274#-0,004874129#-0,613788#3,05611#1  
frame84 #-0,1313367#0,7629988#2,549918#-0,1460561#0,5694826#2,623678# -0,2517841#0,07395395#2,238629#-0,8085846#0,2522822#2,437449#-0,1755693#0,1135156#2,322179#-0,7472714#0,2708012#2,467343#-0,03150816#0,2139041#2,451754#-0,5554303#0,3523391#2,570318#-0,00552752#0,4374006#2,567107#-0,3184424#0,4798794#2,661424#-0,1343522#0,2335081#2,677001#-0,134352#0,1640748#2,678676#-0,05817933#0,08733196#2,668806#-0,2027137#0,09480251#2,707019#-0,1495793#-0,3053395#2,488039#-0,05670929#-0,3276341#3,038446#-0,09562708#-0,646665#2,472369#0,01698822#-0,5888822#3,179587#-0,1541369#-0,7108498#2,425592#-0,008897072#-0,6071733#3,075076#1  
frame85 #-0,1242485#0,7534812#2,562845#-0,1435286#0,5639502#2,631313# -0,1758035#0,07949023#2,258699#-0,798966#0,2783125#2,318427#-0,1146439#0,1222035#2,341163#-0,7154942#0,2800424#2,364958#0,02791724#0,2214319#2,473668#-0,5434781#0,3554197#2,514152#0,01258502#0,4208645#2,602482#-0,313813#0,4692048#2,657633#-0,1355892#0,2297155#2,679354#-0,1348082#0,1612115#2,681008#-0,05719252#0,08445682#2,671558#-0,2074594#0,08992472#2,707384#-0,1489601#-0,3053913#2,48658#-0,05638434#-0,3249536#3,047592#-0,09549152#-0,6467766#2,472115#0,02252255#-0,6210733#3,24745#-0,154553#-0,7108188#2,424543#-0,001924608#-0,6336272#3,14169#1  
frame86 #-0,1201587#0,7480016#2,578307#-0,1410634#0,555033#2,646825# -0,1089064#0,074361#2,289392#-0,792534#0,294637#2,210196#-0,077756#0,09188898#2,350507#-0,6412693#0,2867936#2,307264#0,03459833#0,2210537#2,486603#-0,5128629#0,3615296#2,470125#0,01832629#0,4215629#2,60698#-0,3093406#0,4576911#2,65714#-0,1400329#0,2230733#2,692526#-0,1410163#0,1553636#2,695092#-0,06513458#0,07184258#2,69809#-0,2159657#0,08690165#2,712343#-0,1488893#-0,3062895#2,48467#-0,05641209#-0,3283579#3,049743#-0,0955721#-0,6465561#2,471471#0,01804447#-0,612096#3,244416#-0,1546029#-0,7107855#2,42421#-0,00530044#-0,625901#3,138495#1  
frame87 #-0,1230228#0,7410381#2,590999#-0,1445487#0,5455883#2,665375# -0,09028792#0,028843#2,27294#-0,6374306#0,3416277#2,217164#-0,06143856#0,0888796#2,36035#-0,5733899#0,350234#2,287459#0,04891509#0,2156102#2,5002#-0,4532878#0,3928986#2,468364#0,02307951#0,4264206#2,628783#-0,3057622#0,4490621#2,661604#-0,143769#0,2161056#2,699116#-0,1442259#0,14947#2,70061#-0,06653198#0,06896817#2,700789#-0,2206541#0,08155768#2,713683#-0,1488755#-0,3057039#2,483184#-0,0557972#-0,3347004#3,048715#-0,09680572#-0,645448#2,469297#0,01348357#-0,6121447#3,256304#-0,1548853#-0,7108737#2,422875#-0,008690454#-0,6259595#3,150086#1  
frame88 #-0,1237998#0,737177#2,604488#-0,1469202#0,5400525#2,676872# -0,06186095#-0,009714454#2,302822#-0,5858883#0,3592092#2,060605#-0,02913852#0,05391194#2,382661#-0,5054464#0,3499721#2,188152#0,06127726#0,20433#2,511288#-0,4204079#0,3820736#2,470851#0,02234924#0,4180077#2,639486#-0,3027454#0,4315764#2,666641#-0,1466623#0,2074087#2,707152#-0,1471223#0,1405147#2,708392#-0,06749395#0,06355508#2,706957#-0,2259406#0,07187521#2,717595#-0,1489628#-0,3051355#2,482058#-0,05343144#-0,3414825#3,053788#-0,09720457#-0,6436933#2,46878#0,01004886#-0,6057234#3,254936#-0,1557729#-0,7104503#2,42223#-0,01165326#-0,6203681#3,148687#1  
frame89 #-0,1405088#0,7271482#2,631259#-0,1563019#0,5341314#2,701118# 0,003524345#-0,0279955#2,431977#-0,3465818#0,3934602#2,068107#0,005045421#0,04102221#2,443724#-0,3450811#0,3575544#2,169211#0,1147034#0,2212142#2,64479#-0,3721051#0,379772#2,463028#0,02254795#0,4161888#2,676466#-0,3037797#0,4213173#2,683205#-0,1494442#0,1951525#2,717344#-0,1484498#0,127216#2,717832#-0,06662852#0,05020244#2,717459#-0,2271073#0,05861143#2,720712#-0,148972#-0,3049492#2,481411#-0,05215#-0,3574684#3,051213#-0,09875642#-0,6427395#2,467271#0,009686727#-0,5768821#3,243675#-0,1568498#-0,7105368#2,422804#-0,01399954#-0,596052#3,138499#1  
frame90 #-0,1680401#0,734893#2,678356#-0,1689188#0,534336#2,743947# 0,08966456#0,01103158#2,647916#-0,02857054#0,4408483#2,406532#0,05341255#0,06364037#2,67496#-0,06053346#0,3838103#2,429734#0,08677661#0,2594409#2,844467#-0,3141678#0,3163388#2,54155#0,004762579#0,4095936#2,755609#-0,3188125#0,4619521#2,716264#-0,1514428#0,201951#2,739005#-0,1493331#0,1334891#2,737078#-0,06406634#0,05690713#2,748247#-0,231788#0,06090489#2,729921#-0,1452422#-0,3042943#2,487953#-0,07055293#-0,331284#3,09874#-0,1032322#-0,6405311#2,465524#0,01263355#-0,5639402#3,265889#-0,1571064#-0,7105578#2,42332#-0,01036286#-0,5848745#3,160827#1  
